,Date,Close,High,Low,Open,Volume,SMA100,SMA50,SMA20,SMA7,SMA21
251,2016-02-29,21.993839263916016,22.344139519859407,21.984740353125822,22.032508333194496,140865200,24.360504817962646,22.53169673919678,21.76159076690674,21.904150009155273,21.77400053115118
252,2016-03-01,22.867311477661133,22.921903201240475,22.159887290690275,22.212205588390198,201628400,24.338423671722413,22.48525199890137,21.814140605926514,22.05005427769252,21.81424413408552
253,2016-03-02,22.917360305786133,22.94920563040314,22.664871135294128,22.862768568648413,132678400,24.318036975860597,22.450486602783204,21.891250991821288,22.175811495099747,21.8666748773484
254,2016-03-03,23.087953567504883,23.135721539046983,22.849111974354905,22.8786838630044,147822800,24.302239723205567,22.432481307983398,21.955737400054932,22.397103718348912,21.948236828758603
255,2016-03-04,23.431438446044922,23.599763987599513,23.058391713172533,23.285859317872287,184220400,24.28397508621216,22.4154634475708,22.028641033172608,22.62164797101702,22.02600887843541
256,2016-03-07,23.1721248626709,23.39049354877753,22.96512851521479,23.290407250188636,143315600,24.264288749694824,22.393711776733397,22.117922401428224,22.787700380597794,22.083092644101097
257,2016-03-08,22.981048583984375,23.14710067558947,22.83774463799302,22.92418169082973,126247600,24.242263584136964,22.36189437866211,22.186390018463136,22.92158235822405,22.15902364821661
258,2016-03-09,23.001523971557617,23.106158857643496,22.80817512627541,23.044741634772198,108806800,24.224002513885498,22.33311092376709,22.256108856201173,23.065537316458567,22.225205920991442
259,2016-03-10,23.012895584106445,23.256285835146045,22.780879406703452,23.06748905503419,134054400,24.202138156890868,22.31002986907959,22.334584999084473,23.086335045950754,22.292146319434757
260,2016-03-11,23.260835647583008,23.2653842356737,23.087959797657657,23.25628532405237,109632800,24.1846004486084,22.28322006225586,22.43194122314453,23.135402951921737,22.378692172822497
261,2016-03-14,23.31997299194336,23.408686935062335,23.15164748704423,23.18121937989713,100304400,24.166099700927735,22.264018173217774,22.528956031799318,23.168548583984375,22.47422845023019
